Parameter S1 S1_conf ST ST_conf
cd295 -0.000009 0.000040 0.000000 0.000000
cd299 0.000300 0.001337 0.000398 0.000030
ud177 0.001116 0.000586 0.000072 0.000005
ud4 0.010363 0.007199 0.010395 0.000733
ud6 0.000009 0.000087 0.000002 0.000000
ud9 0.000024 0.000165 0.000005 0.000000
cd482 -0.000025 0.000050 0.000000 0.000000
cd121 0.000105 0.001122 0.000263 0.000020
cd242 -0.000021 0.000108 0.000002 0.000000
cd362 0.000022 0.000306 0.000020 0.000001
cd365 -0.000125 0.000550 0.000064 0.000005
cd485 0.000003 0.000032 0.000000 0.000000
cd122 0.000659 0.000565 0.000067 0.000005
cd488 -0.000007 0.000105 0.000002 0.000000
cd366 0.000001 0.000032 0.000000 0.000000
cd245 0.000481 0.000623 0.000081 0.000006
ud229 0.000708 0.001528 0.000448 0.000033
cd127 0.000010 0.000125 0.000003 0.000000
ud228 0.000870 0.001435 0.000394 0.000028
cd128 -0.000006 0.000036 0.000000 0.000000
ud588 0.001775 0.003286 0.002136 0.000157
ud222 0.000000 0.000000 0.000000 0.000000
ud582 0.000663 0.001301 0.000370 0.000028
ud360 -0.001431 0.001286 0.000349 0.000025
ud481 0.002071 0.001676 0.000524 0.000041
hl694 0.000706 0.001590 0.000482 0.000035
cd592 -0.000020 0.000032 0.000000 0.000000
cd352 0.000011 0.000032 0.000000 0.000000
cd231 -0.000647 0.000340 0.000024 0.000002
cd472 0.000005 0.000035 0.000000 0.000000
cd230 0.000038 0.000134 0.000004 0.000000
cd232 -0.000002 0.000043 0.000000 0.000000
cd353 0.000111 0.000189 0.000007 0.000001
cd111 0.000076 0.000307 0.000021 0.000001
cd235 -0.000019 0.000174 0.000006 0.000000
cd479 -0.000041 0.000952 0.000173 0.000012
cd116 0.000030 0.000207 0.000008 0.000001
cd358 -0.000018 0.000037 0.000000 0.000000
cd357 -0.000002 0.000218 0.000009 0.000001
cd239 -0.000004 0.000031 0.000000 0.000000
cd359 -0.000008 0.000124 0.000003 0.000000
cd238 0.000006 0.000116 0.000002 0.000000
cd119 0.000036 0.000314 0.000020 0.000002
ud234 -0.000013 0.000087 0.000002 0.000000
ud356 -0.000002 0.000016 0.000000 0.000000
ud474 0.000060 0.000179 0.000007 0.000001
ud595 0.000471 0.000519 0.000051 0.000004
ud112 0.002217 0.001047 0.000235 0.000017
ud371 0.001963 0.002150 0.000957 0.000068
ud372 -0.000024 0.000117 0.000003 0.000000
