type,smell,hibernate-core-3.3.0.GA,hibernate-core-3.5.0-Final,hibernate-core-3.6.0.Final,hibernate-core-4.0.0.Final,hibernate-core-4.1.0.Final,hibernate-core-4.2.0.Final,hibernate-core-4.3.0.Final,hibernate-core-5.0.0.Final,hibernate-core-5.1.0.Final,hibernate-core-5.2.0.Final,hibernate-core-5.3.0.Final,hibernate-core-5.4.0.Final
cd,org.hibernate.cache.internal;org.hibernate.type;org.hibernate.property;org.hibernate.internal.util;org.hibernate.engine.spi;org.hibernate.collection.internal;org.hibernate.persister.collection;org.hibernate.mapping;org.hibernate.cfg_SeverityScore,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,573.0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.hibernate.cache.internal;org.hibernate.type;org.hibernate.property;org.hibernate.internal.util;org.hibernate.engine.spi;org.hibernate.collection.internal;org.hibernate.persister.collection;org.hibernate.mapping;org.hibernate.cfg_PageRank,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,164.3161769437428,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.hibernate.cache.internal;org.hibernate.type;org.hibernate.property;org.hibernate.internal.util;org.hibernate.engine.spi;org.hibernate.collection.internal;org.hibernate.persister.collection;org.hibernate.mapping;org.hibernate.cfg_NumSetOfElement,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,9.0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.hibernate.cache.internal;org.hibernate.type;org.hibernate.property;org.hibernate.internal.util;org.hibernate.engine.spi;org.hibernate.collection.internal;org.hibernate.persister.collection;org.hibernate.mapping;org.hibernate.cfg_TotNumOfSetOfElement,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,863.0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.hibernate.engine.spi;org.hibernate.internal.util;org.hibernate.property;org.hibernate.mapping;org.hibernate.persister.entity;org.hibernate.pretty_SeverityScore,-Infinity,-Infinity,-Infinity,-Infinity,451.0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.hibernate.engine.spi;org.hibernate.internal.util;org.hibernate.property;org.hibernate.mapping;org.hibernate.persister.entity;org.hibernate.pretty_PageRank,-Infinity,-Infinity,-Infinity,-Infinity,115.87361450282815,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.hibernate.engine.spi;org.hibernate.internal.util;org.hibernate.property;org.hibernate.mapping;org.hibernate.persister.entity;org.hibernate.pretty_NumSetOfElement,-Infinity,-Infinity,-Infinity,-Infinity,6.0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.hibernate.engine.spi;org.hibernate.internal.util;org.hibernate.property;org.hibernate.mapping;org.hibernate.persister.entity;org.hibernate.pretty_TotNumOfSetOfElement,-Infinity,-Infinity,-Infinity,-Infinity,807.0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.hibernate.dialect;org.hibernate.dialect.lock;org.hibernate.persister.entity;org.hibernate.id;org.hibernate.mapping;org.hibernate.property;org.hibernate.util_SeverityScore,-Infinity,350.0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.hibernate.dialect;org.hibernate.dialect.lock;org.hibernate.persister.entity;org.hibernate.id;org.hibernate.mapping;org.hibernate.property;org.hibernate.util_PageRank,-Infinity,101.29773888970774,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.hibernate.dialect;org.hibernate.dialect.lock;org.hibernate.persister.entity;org.hibernate.id;org.hibernate.mapping;org.hibernate.property;org.hibernate.util_NumSetOfElement,-Infinity,7.0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.hibernate.dialect;org.hibernate.dialect.lock;org.hibernate.persister.entity;org.hibernate.id;org.hibernate.mapping;org.hibernate.property;org.hibernate.util_TotNumOfSetOfElement,-Infinity,636.0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
ud,org.hibernate.jpa.graph.internal_SeverityScore,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,11.0,13.0,-Infinity,
ud,org.hibernate.jpa.graph.internal_PageRank,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,9.005336399058153,9.066424655688003,-Infinity,
ud,org.hibernate.jpa.graph.internal_NumSetOfElement,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,2.0,2.0,-Infinity,
ud,org.hibernate.jpa.graph.internal_TotNumOfSetOfElement,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,1308.0,1496.0,-Infinity,
cd,org.hibernate.id;org.hibernate.tuple.entity;org.hibernate.mapping_SeverityScore,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,336.0,-Infinity,-Infinity,-Infinity,
