type,smell,apache-cxf-2.0.6,apache-cxf-2.1.1,apache-cxf-2.2.1,apache-cxf-2.3.0,apache-cxf-2.4.0,apache-cxf-2.5.0,apache-cxf-2.6.0,apache-cxf-2.7.0,apache-cxf-3.0.0,apache-cxf-3.1.0,apache-cxf-3.2.0
cd,org.apache.cxf.jaxrs;org.apache.cxf.jaxrs.provider;org.apache.cxf.jaxrs.ext;org.apache.cxf.jaxrs.impl_NumSetOfElement,-Infinity,-Infinity,-Infinity,-Infinity,4.0,4.0,-Infinity,4.0,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf.jaxrs;org.apache.cxf.jaxrs.provider;org.apache.cxf.jaxrs.ext;org.apache.cxf.jaxrs.impl_TotNumOfSetOfElement,-Infinity,-Infinity,-Infinity,-Infinity,740.0,738.0,-Infinity,794.0,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf;org.apache.cxf.wsdl;org.apache.cxf.transport;org.apache.cxf.ws.addressing_SeverityScore,-Infinity,210.0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf;org.apache.cxf.wsdl;org.apache.cxf.transport;org.apache.cxf.ws.addressing_PageRank,-Infinity,42.16090958628689,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf;org.apache.cxf.wsdl;org.apache.cxf.transport;org.apache.cxf.ws.addressing_NumSetOfElement,-Infinity,4.0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf;org.apache.cxf.wsdl;org.apache.cxf.transport;org.apache.cxf.ws.addressing_TotNumOfSetOfElement,-Infinity,457.0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf.jaxrs.client;org.apache.cxf.jaxrs.ext.form;org.apache.cxf.jaxrs.impl;org.apache.cxf.jaxrs.provider_SeverityScore,-Infinity,-Infinity,260.0,289.0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf.jaxrs.client;org.apache.cxf.jaxrs.ext.form;org.apache.cxf.jaxrs.impl;org.apache.cxf.jaxrs.provider_PageRank,-Infinity,-Infinity,12.561599051152715,15.259576223550205,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf.jaxrs.client;org.apache.cxf.jaxrs.ext.form;org.apache.cxf.jaxrs.impl;org.apache.cxf.jaxrs.provider_NumSetOfElement,-Infinity,-Infinity,4.0,4.0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf.jaxrs.client;org.apache.cxf.jaxrs.ext.form;org.apache.cxf.jaxrs.impl;org.apache.cxf.jaxrs.provider_TotNumOfSetOfElement,-Infinity,-Infinity,552.0,659.0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
ud,org.apache.cxf.aegis.type_SeverityScore,23.0,31.0,42.0,44.0,53.0,54.0,59.0,62.0,-Infinity,-Infinity,-Infinity,
ud,org.apache.cxf.aegis.type_PageRank,9.692331400265104,9.328815848006784,11.867867009304547,12.425164508841123,11.74168145093745,12.485333374874676,11.862051376380693,13.077248541144224,-Infinity,-Infinity,-Infinity,
ud,org.apache.cxf.aegis.type_NumSetOfElement,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,-Infinity,-Infinity,-Infinity,
ud,org.apache.cxf.aegis.type_TotNumOfSetOfElement,329.0,457.0,552.0,659.0,740.0,738.0,746.0,794.0,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf.endpoint;org.apache.cxf.ws.addressing;org.apache.cxf.transport;org.apache.cxf.helpers_SeverityScore,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,94.0,
cd,org.apache.cxf.endpoint;org.apache.cxf.ws.addressing;org.apache.cxf.transport;org.apache.cxf.helpers_PageRank,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,32.53765182788917,
